Emp ID,First Name,Last Name,Email,Phone,City,Profile,B'day,All formalities over,Joining date,Salary (INR per month)
104,Bruce,Ernst,bernst@gmail.com,590.423.4568,Pune,Web developer,9/9/2000,Yes,21-May-07,60000
148,Shelley,Higgins,shiggins@gmail.com,515.123.8080,Pune,Design,9/3/1998,Yes,07-Jun-02,12008
149,William,Gietz,wgietz@gmail.com,515.123.8181,Pune,Web developer,9/4/1998,Yes,07-Jun-02,83000
126,Irene,Mikkilineni,imikkili@gmail.com,650.124.1224,Surat,Web developer,9/23/1998,Yes,28-Sep-06,27000
127,James,Landry,jlandry@gmail.com,650.124.1334,Surat,Design,9/24/1998,Yes,14-Jan-07,24000
128,Steven,Markle,smarkle@gmail.com,650.124.1434,Surat,HR,10/3/1998,No,08-Mar-08,22000
129,Laura,Bissot,lbissot@gmail.com,650.124.5234,Surat,Design,10/4/1998,Yes,20-Aug-05,33000
139,John,Seo,jseo@gmail.com,650.121.2019,Surat,Accounting,10/14/1994,No,12-Feb-06,27000
119,Karen,Colmenares,kcolmena@gmail.com,515.127.4566,Varanasi,Design,9/24/1998,Yes,10-Aug-07,25000
120,Matthew,Weiss,mweiss@gmail.com,650.123.1234,Varanasi,HR,9/25/1998,Yes,18-Jul-04,80000
121,Adam,Fripp,afripp@gmail.com,650.123.2234,Varanasi,Accounting,9/26/1998,No,10-Apr-05,82000
